word,phonetic,translation,definition,pos,exchange,frequency
boulder,'bәuldә,"n. 大圆石\n[机] 圆石, 漂石",n. a large smooth mass of rock detached from its place of origin\nn. a town in north central Colorado; Rocky Mountains resort center and university town,,s:boulders/i:bouldering,6122
cereal,'siәriәl,"n. 谷类食品, 谷类植物\na. 谷类的",n. grass whose starchy grains are used as food: wheat; rice; rye; oats; maize; buckwheat; millet\nn. a breakfast food prepared from grain\na. made of grain or relating to grain or the plants that produce it,,s:cereals,6122
fracture,'fræktʃә,"n. 破碎, 骨折\nv. (使)破碎, (使)破裂","n. breaking of hard tissue such as bone\nn. the act of cracking something\nv. violate or abuse\nv. interrupt, break, or destroy",,s:fractures/p:fractured/d:fractured/i:fracturing/3:fractures,6123
quilt,kwilt,"n. 棉被\nvt. 加软衬料后缝制, 东拼西凑地编\nvi. 缝被子",n. bedding made of two layers of cloth filled with stuffing and stitched together\nv. stitch or sew together\nv. create by stitching together,,s:quilts/i:quilting/d:quilted/p:quilted/3:quilts,6124
turnover,'tә:n.әuvә,"n. 翻倒, 翻转, 半圆酥饼, 营业额, 流通, 周转\na. 可翻转的",n. a dish made by folding a piece of pastry over a filling,,s:turnovers,6125
socioeconomic,"'sәuʃiәu,i:kә'nɔmik",a. 社会经济学的,a. involving social as well as economic factors,,s:socioeconomics,6127
pyramid,'pirәmid,"n. 角锥, 金字塔\nv. (使)成金字塔状, (使)渐增, (使)上涨",n. a polyhedron having a polygonal base and triangular sides with a common vertex\nn. (stock market) a series of transactions in which the speculator increases his holdings by using the rising market value of those holdings as margin for further purchases\nn. a massive monument with a square base an,,s:pyramids/i:pyramiding/p:pyramided/3:pyramids/d:pyramided,6129
bachelor,'bætʃәlә,"n. 单身汉, 学士\n[法] 学士, 单身汉",n. a man who has never been married\nv. lead a bachelor's existence,,s:bachelors,6130
protestant,'prɒtistәnt,"n. 新教徒\na. 新教的, 新教徒的",n. an adherent of Protestantism\na. of or relating to Protestants or Protestantism\ns. protesting,,s:protestants,6131
tract,trækt,"n. 大片土地, 地带, 小册子\n[医] 束, 道",n. an extended area of land\nn. a system of body parts that together serve some particular purpose\nn. a brief treatise on a subject of interest; published in the form of a booklet,,s:tracts,6133
operational,.ɒpә'reiʃәnl,"a. 操作的, 运作的\n[法] 操作上的, 业务上的, 可起作用的",a. pertaining to a process or series of actions for achieving a result\na. (military) of or intended for or involved in military operations\ns. being in effect or operation,,,6134
convincing,kәn'vinsiŋ,"a. 使人信服的, 有力的, 令人心悦诚服的",a. causing one to believe the truth of something,,0:convince/1:i/i:convincing,6135
decoration,.dekә'reiʃәn,"n. 装饰, 装饰品",n. something used to beautify\nn. an award for winning a championship or commemorating some other event\nn. the act of decorating something (in the hope of making it more attractive),,s:decorations,6136
descendant,di'sendәnt,"n. 后裔, 子孙\na. 传下的, 下降的",n. a person considered as descended from some ancestor or race\ns. going or coming down\ns. proceeding by descent from an ancestor,,s:descendants,6138
lump,lʌmp,"n. 块, 瘤, 很多, 肿块, 笨人\nvt. 使成块状, 混在一起\nvi. 结块",v. put together indiscriminately,,s:lumps/d:lumped/p:lumped/i:lumping/3:lumps,6139
scarf,skɑ:f,"n. 围巾, 头巾, 领带, 领巾, 嵌接\nvt. 用围巾围, 嵌接",n. a garment worn around the head or neck or shoulders for warmth or decoration\nv. masturbate while strangling oneself\nv. unite by a scarf joint\nv. wrap in or adorn with a scarf,,s:scarves/d:scarfed/p:scarfed/i:scarfing/3:scarfs,6140
freeway,'fri:wei,n. 高速公路,n a broad highway designed for high-speed traffic,,s:freeways,6142
clash,klæʃ,"n. 冲突, 撞击声, 抵触\nvi. 冲突, 抵触\nvt. 使发出撞击声\n[计] 对撞",n. a state of conflict between persons\nn. a state of conflict between colors\nv. be incompatible; be or come into conflict\nv. disagree violently,,s:clashes/d:clashed/p:clashed/i:clashing/3:clashes,6143
newsletter,'nju:z.letә,"n. 时事通讯, 业务通讯, 时事传报\n[法] 时事通讯, 时事信札",n. report or open letter giving informal or confidential news of interest to a special group,,s:newsletters,6145
mammal,mæmәl,n. 哺乳动物\n[化] 哺乳动物,n. any warm-blooded vertebrate having the skin more or less covered with hair; young are born alive except for the small subclass of monotremes and nourished with milk,,s:mammals,6146
yank,jæŋk,v. 猛拉,"v. pull, or move with a sudden movement",,p:yanked/s:yanks/i:yanking/d:yanked/3:yanks,6147
multiply,'mʌltiplai,"v. 繁殖, 乘, 增加\n[计] 乘",v. combine by multiplication\nv. combine or increase by multiplication\nr. in several ways; in a multiple manner,,d:multiplied/i:multiplying/p:multiplied/3:multiplies,6148
pumpkin,'pʌmpkin,n. 南瓜,n. a coarse vine widely cultivated for its large pulpy round orange fruit with firm orange skin and numerous seeds; subspecies of Cucurbita pepo include the summer squashes and a few autumn squashes\nn. usually large pulpy deep-yellow round fruit of the squash family maturing in late summer or early,,s:pumpkins,6149
sampling,'sɑ:mpliŋ,[计] 抽样; 采样\n[化] 取样,n. (statistics) the selection of a suitable sample for study\nn. measurement at regular intervals of the amplitude of a varying waveform (in order to convert it to digital form),,0:sample/1:i/i:sampling/s:samplings,6151
configuration,kәn.figju'reiʃәn,"n. 结构, 表面配置, 外形, 配置\n[计] 配置",n. an arrangement of parts or elements,,s:configurations,6153
notorious,nәu'tɒ:riәs,"a. 声名狼藉的, 臭名昭著的, 众人皆知的",s known widely and usually unfavorably; ,,,6155
compost,'kɒmpәust,"n. 混合物, 堆肥\nvt. 施堆肥于",n. a mixture of decaying vegetation and manure; used as a fertilizer\nv. convert to compost,,s:composts/p:composted/d:composted/i:composting/3:composts,6156
stereo,'stiәriәu,"n. 铅版, 立体照片\na. 立体的, 立体感觉的",n. reproducer in which two microphones feed two or more loudspeakers to give a three-dimensional effect to the sound\nn. two photographs taken from slightly different angles that appear three-dimensional when viewed together,,s:stereos,6158
lethal,'li:θәl,a. 致命的\nn. 致死因子,s of an instrument of certain death,,s:lethals,6159
roller,'rәulә,"n. 滚筒, 滚轴, 压路机\n[化] 滚柱; 托辊",n. a grounder that rolls along the infield\nn. a long heavy sea wave as it advances towards the shore\nn. a small wheel without spokes (as on a roller skate)\nn. a cylinder that revolves,,s:rollers/p:rollered/d:rollered/i:rollering,6161
filmmaker,"'film,meikә(r)",n. 电影制作人,n a producer of motion pictures,,s:filmmakers,6164
credential,kri'denʃәl,"n. 国书, 凭据, 证明书\n[经] 凭证, 证书",n a document attesting to the truth of certain stated facts,,p:credentialed,6165
swirl,swә:l,"n. 漩涡, 涡动\nvt. 使成漩涡\nvi. 打漩, 盘绕, 眩晕","n the shape of something rotating rapidly\nv turn in a twisting or spinning motion\nv flow in a circular current, of liquids",,p:swirled/i:swirling/s:swirls/3:swirls/d:swirled,6166
broadly,'brɒ:dli,"adv. 宽广地, 明白地, 无礼貌地",r. without regard to specific details or exceptions\nr. in a wide fashion,,,6167
smoothly,'smu:ðli,"adv. 平滑地, 流畅地, 流利地",r. with no problems or difficulties\nr. in a smooth and diplomatic manner,,,6168
fling,fliŋ,"n. 投掷, 急冲, 嘲弄\nvt. 投, 丢下, 抛弃, 使陷入, 挥动, 嘲笑, 扫视\nvi. 猛冲",n. the act of flinging\nv. throw with force or recklessness\nv. move in an abrupt or headlong manner,,p:flung/d:flung/i:flinging/3:flings/s:flings,6172
livestock,'laivstɒk,"n. 家畜\n[经] 牲畜, 家畜",n. any animals kept for use or profit,,,6173
roam,rәum,"v. 漫游, 闲逛, 徜徉\nn. 漫步, 漫游","v move about aimlessly or without any destination, often in search of food or employment",,i:roaming/p:roamed/3:roams/d:roamed/s:roams,6175
heroic,hi'rәuik,"a. 英勇的, 英雄式的, 壮丽雄伟的\nn. 英雄诗, 史诗, 英勇行为",a. relating to or characteristic of heroes of antiquity\ns. having or displaying qualities appropriate for heroes,,s:heroics,6176
heir,єә,"n. 继承人, 嗣子, 后嗣\n[法] 继承人, 后嗣",n. a person who is entitled by law or by the terms of a will to inherit the estate of another,,s:heirs,6177
foam,fәum,"n. 泡沫, 水沫, 泡沫材料\nvi. 起泡沫, 吐白沫\nvt. 使起泡沫",n. a mass of small bubbles formed in or on a liquid\nn. a lightweight material in cellular form; made by introducing gas bubbles during manufacture\nv. become bubbly or frothy or foaming,,s:foams/i:foaming/p:foamed/3:foams/d:foamed,6178
offset,'ɒ:fset,"n. 抵消, 把...并列, 旁系, 支管, 用胶印法印\nvt. 弥补, 抵消, 胶印\nvi. 装支管\nn. 偏移量\n[计] 偏移量","n. a plate makes an inked impression on a rubber-blanketed cylinder, which in turn transfers it to the paper\nv. compensate for or counterbalance\nv. cause (printed matter) to transfer or smear onto another surface\nv. create an offset in",,d:offset/0:offset/1:dp/3:offsets/i:offsetting/p:offset/s:offsets,6179
affiliation,ә.fili'eiʃәn,"n. 联系, 从属关系\n[医] 父权(判定私生儿的父亲)",n. a social or business relationship\nn. the act of becoming formally connected or joined,,s:affiliations,6180
asteroid,'æstәrɒid,"n. 小行星, 海盘车\na. 星状的",n. any of numerous small celestial bodies composed of rock and metal that move around the sun (mainly between the orbits of Mars and Jupiter)\ns. shaped like a star,,s:asteroids,6181
interface,'intәfeis,"n. 分界面, 接触面, 界面\n[计] 接口, 界面",n. (chemistry) a surface forming a common boundary between two things (two objects or liquids or chemical phases)\nn. (computer science) a program that controls a display for the user (usually on a computer monitor) and that allows the user to interact with the system\nn. the overlap where two theor,,s:interfaces/d:interfaced/p:interfaced/3:interfaces,6182
tomb,tu:m,"n. 坟墓, 死亡\nvt. 埋葬",n a place for the burial of a corpse (especially beneath the ground and marked by a tombstone),,s:tombs,6183
abandoned,ә'bændәnd,"a. 被抛弃的, 无约束的, 恣意放荡的",s. forsaken by owner or inhabitants\ns. free from constraint,,0:abandon/1:dp/p:abandoned/d:abandoned,6184
bookstore,'bukstɒ:,n. 书店,n a shop where books are sold,,s:bookstores,6186
straightforward,streit'fɒ:wәd,"a. 笔直的, 率直的, 明确的, 简单的, 直接的",s. free from ambiguity\ns. pointed directly ahead,,,6187
frustrating,frʌ'streitiŋ,a. 令人沮丧的,s. discouraging by hindering\ns. preventing realization or attainment of a desire,,0:frustrate/1:i/i:frustrating,6190
glorious,'glɒ:riәs,a. 光荣的,a. having or deserving or conferring glory\ns. having great beauty and splendor,,,6191
honesty,'ɒnisti,"n. 诚实, 公正, 正直",n. the quality of being honest\nn. southeastern European plant cultivated for its fragrant purplish flowers and round flat papery silver-white seedpods that are used for indoor decoration,,,6192
crisp,krisp,"a. 脆的, 新鲜的, 活泼的\nv. (使)烘脆, (使)拳曲, (使)起皱\nn. 松脆物",s. (of something seen or heard) clearly defined\ns. tender and brittle\ns. pleasantly cold and invigorating\ns. pleasingly firm and fresh,,s:crisps/r:crisper/i:crisping/p:crisped/t:crispest/3:crisps/d:crisped,6194
selective,si'lektiv,"a. 选择的, 选择性的\n[经] 选择的, 选择性的",s. tending to select; characterized by careful choice\ns. characterized by very careful or fastidious selection,,s:selectives,6195
protester,,"n. 抗议者, 持异议者, 拒付者\n[经] 反对者",n a person who dissents from some established policy\nn someone who participates in a public display of group feeling,,s:protesters,6197
sausage,'sɒsidʒ,"n. 香肠, 腊肠",n. highly seasoned minced meat stuffed in casings,,s:sausages,6199
overturn,.әuvә'tә:n,"n. 倾覆, 破灭, 革命\nvt. 推翻, 颠倒\nvi. 翻倒",n. an improbable and unexpected victory\nv. turn from an upright or normal position\nv. cause to overturn from an upright or normal position,,d:overturned/p:overturned/i:overturning/3:overturns,6200
compact,kәm'pækt,"a. 紧凑的, 紧密的, 简洁的\nvt. 使紧密结合, 压缩\nvi. 变坚实",n. a small cosmetics case with a mirror; to be carried in a woman's purse\nn. a small and economical car\nv. have the property of being packable or of compacting easily\na. closely and firmly united or packed together,,s:compacts/d:compacted/3:compacts/i:compacting/r:compacter/p:compacted,6203
transcript,'trænskript,"n. 抄本, 副本, 成绩单\n[法] 法院文本, 官方记录, 记录的副本",n. something that has been transcribed; a written record (usually typewritten) of dictated or recorded speech\nn. a reproduction of a written record (e.g. of a legal or school record),,s:transcripts,6204
standpoint,'stændpɒint,"n. 立场, 观点",n a mental position from which things are viewed,,s:standpoints,6206
empower,im'pauә,"vt. 授予权力, 允许, 使能够\n[法] 授权, 准许, 转委",v. give or delegate power or authority to,,d:empowered/3:empowers/p:empowered/i:empowering/s:empowers,6207
mainland,'meinlәnd,"n. 大陆, 本土\n[法] 大陆",n. the main land mass of a country or continent; as distinguished from an island or peninsula,,,6208
flourish,'flʌriʃ,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈\nvt. 挥舞, 夸耀\nn. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻",n. a showy gesture\nn. an ornamental embellishment in writing\nn. a display of ornamental speech or language\nn. the act of waving,,p:flourished/d:flourished/i:flourishing/s:flourishes/3:flourishes,6209
tug,tʌg,"n. 用力拉, 拖曳, 苦干, 挣扎, 绳索\nv. 用力拉",n. a sudden abrupt pull\nv. pull hard\nv. strive and make an effort to reach a goal\nv. tow (a vessel) with a tug,,p:tugged/i:tugging/s:tugs/d:tugged/3:tugs,6210
solidarity,.sɒli'dæriti,"n. 团结, 团结一致, 共同一致\n[法] 团结, 共同责任",n. a union of interests or purposes or sympathies among members of a group,,s:solidarities,6213
saddle,'sædl,"n. 鞍, 马鞍, 车座, 鞍状物\nvt. 装以马鞍, 使负担\nvi. 跨上马鞍",n. a seat for the rider of a horse or camel\nn. cut of meat (especially mutton or lamb) consisting of part of the backbone and both loins\nn. a piece of leather across the instep of a shoe\nn. posterior part of the back of a domestic fowl,,d:saddled/s:saddles/p:saddled/i:saddling/3:saddles,6217
artwork,'ɑ:twә:k,"n. 插图, 艺术作品\n[计] 原图",n. photographs or other visual representations in a printed publication,,s:artworks,6219
freeman,'fri:mәn,"n. 自由民, 公民, 正会员\n[法] 自由民, 公民, 有公民权的人",n. a person who is not a serf or a slave,,s:freemen,6221
occurrence,ә'kʌrәns,"n. 发生, 事件, 出现\n[医] 发生",n. an instance of something occurring,,s:occurrences,6221
partisan,'pɑ:tizn,"n. 党羽, 虔诚信徒, 同党, 游击队员\na. 党派的, 偏袒的, 效忠的, 献身的, 盲目推崇的",n. a fervent and even militant proponent of something\nn. a pike with a long tapering double-edged blade with lateral projections; 16th and 17th centuries\na. devoted to a cause or party,,s:partisans,6222
hose,hәuz,"n. 水管, 橡皮软管, 长统袜\nvt. 用水管浇",n. man's close-fitting garment of the 16th and 17th centuries covering the legs and reaching up to the waist; worn with a doublet\nn. a flexible pipe for conveying a liquid or gas\nv. water with a hose,,s:hoses/i:hosing/d:hosed/p:hosed/3:hoses,6226
aggressively,,"adv. (贬)侵略, 侵犯, 寻衅, (褒)敢作敢为, 有进取心, (武器)攻击性, 过分, 放肆",r. in an aggressive manner,,,6227
liberation,.libә'reiʃәn,"n. 释放, 解放\n[化] 发出; 释放; 放出",n. the act of liberating someone or something\nn. the attempt to achieve equal rights or status,,,6230
hammer,'hæmә,"n. 锤, 铁锤, 钉锤\nvt. 锤打, 敲打, 钉\nvi. 连续锤打\n[计] 锤头",n. the part of a gunlock that strikes the percussion cap when the trigger is pulled\nn. a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking\nn. a heavy metal sphere attached to a flexible wire; used in the hammer throw\nn. a striker that is covered in fel,,i:hammering/s:hammers/p:hammered/d:hammered/3:hammers,6231
burial,'beriәl,"n. 埋葬, 葬礼\n[法] 埋葬, 葬礼",n. the ritual placing of a corpse in a grave,,s:burials,6234
mobilize,'mәubilaiz,"vt. 动员, 调动, 使流通\nvi. 动员",v. make ready for action or use\nv. get ready for war\nv. cause to move around,,d:mobilized/i:mobilizing/p:mobilized/3:mobilizes,6235
vigorous,'vigәrәs,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的",s. characterized by forceful and energetic action or activity\ns. strong and active physically or mentally,,,6236
passport,'pæspɒ:t,"n. 护照, 手段, 通行证\n[法] 通行证, 护照",n. a document issued by a country to a citizen allowing that person to travel abroad and re-enter the home country,,s:passports,6239
packet,'pækit,"n. 小包, 一批信件, 大量, 信息包\nvt. 打包, 装进小包\n[计] 分组, 分组报文, 数据分组",n. (computer science) a message or message fragment\nn. a small package or bundle,,s:packets,6240
questionable,'kwestʃәnәbl,"a. 可疑的\n[法] 可疑的, 有问题的, 不可靠的",a. subject to question\ns. able to be refuted,,,6242
rep,rep,"n. 棱纹平布, 浪荡子, 名声\n[化] 物理伦琴当量",n. informal abbreviation of `representative'\nn. a fabric with prominent rounded crosswise ribs,,s:reps/d:repped/i:repping,6243
surplus,'sә:plәs,"n. 剩余, 过剩, 盈余\na. 过剩的, 剩余的","n a quantity much larger than is needed\ns more than is needed, desired, or required",,,6243
poise,pɒiz,"n. 平衡, 均衡, 姿势, 镇静, 安静, 砝码\nvt. 使平衡, 使悬着, 保持...姿势\nvi. 平衡, 悬着, 准备好","n. a cgs unit of dynamic viscosity equal to one dyne-second per square centimeter; the viscosity of a fluid in which a force of one dyne per square centimeter maintains a velocity of 1 centimeter per second\nn. a state of being balanced in a stable equilibrium\nv. be motionless, in suspension",,d:poised/p:poised/i:poising/s:poises/3:poises,6244
marital,'mæritәl,"a. 丈夫的, 婚姻的, 夫妇间的\n[医] 婚姻的",a. of or relating to the state of marriage,,,6246
photographic,.fәutә'græfik,"a. 照相的, 摄影用的, 详细记录的, 逼真的, 酷似的",a. relating to photography or obtained by using photography\ns. representing people or nature with the exactness and fidelity of a photograph,,,6248
victorian,vik'tɔ:riәn,"a. 英国维多利亚女王时代的, 笃信宗教的, 讲究体面的\nn. 维多利亚女王时代的英国人",n. a person who lived during the reign of Victoria\na. of or relating to Queen Victoria of Great Britain or to the age in which she ruled\ns. typical of the moral standards or conduct of the age of Queen Victoria,,s:victorians,6250
homemade,'hәum'meid,"a. 自制的, 国产的",a. made or produced in the home or by yourself,,,6251
drape,dreip,"n. 布帘, 褶皱\nvt. 用布帘覆盖, 披上\nvi. 成褶皱状",n. the manner in which fabric hangs or falls\nn. a sterile covering arranged over a patient's body during a medical examination or during surgery in order to reduce the possibility of contamination\nv. arrange in a particular way\nv. place casually,,d:draped/p:draped/s:drapes/i:draping/3:drapes,6253
evangelical,",i:væn'dʒelikәl",a. 福音派教会的\nn. 福音派信徒,a. relating to or being a Christian church believing in personal conversion and the inerrancy of the Bible especially the 4 Gospels\na. of or pertaining to or in keeping with the Christian gospel especially as in the first 4 books of the New Testament\ns. marked by ardent or zealous enthusiasm for a,,s:evangelicals,6254
spokeswoman,"'spәuks,wumәn","n. 女发言人, 女代言人",n. a female spokesperson,,s:spokeswomen,6255
wedge,wedʒ,"n. 楔子, 楔形物, 起因, 导致分裂的东西\nvt. 楔住, 挤进, 楔入\nvi. 楔入, 挤进",n. any shape that is triangular in cross section\nn. (golf) an iron with considerable loft and a broad sole\nn. something solid that is usable as an inclined plane (shaped like a V) that can be pushed between two things to separate them\nv. squeeze like a wedge into a tight space,,s:wedges/d:wedged/p:wedged/i:wedging/3:wedges,6257
coffin,'kɒfin,"n. 棺材, 灵柩\nvt. 把...装进棺材",n. box in which a corpse is buried or cremated\nv. place into a coffin,,s:coffins/i:coffining/p:coffined/3:coffins/d:coffined,6258
server,'sә:vә,"n. 服伺者, 上菜用具, 发球员\nn. 服务器\n[计] 服务器, 服务器启动程序, 服务台程序",n. (court games) the player who serves to start a point\nn. (computer science) a computer that provides client stations with access to files and printers as shared resources to a computer network\nn. utensil used in serving food or drink,,s:servers,6259
sandy,'sændi,"a. 沙的, 沙地的, 多沙的",s of hair color; pale yellowish to yellowish brown\na resembling or containing or abounding in sand; or growing in sandy areas,,r:sandier,6261
tense,tens,"a. 紧张的, 拉紧的\nv. (使)紧张, (使)拉紧\nn. 时态","n. a grammatical category of verbs used to express distinctions of time\nv. increase the tension on\nv. become tense, nervous, or uneasy\nv. cause to be tense and uneasy or nervous or anxious",,p:tensed/i:tensing/d:tensed/s:tenses/3:tenses,6263
archaeologist,.ɑ:ki'ɒlәdʒist,n. 考古学家,n an anthropologist who studies prehistoric people and their culture,,s:archaeologists,6264
pharmaceutical,",fɑ:mә'sju:tikәl","a. 药学的, 制药的, 药用的, 药物的, 药剂师的, 药师的\nn. 药品, 成药, 药剂",n. drug or medicine that is prepared or dispensed in pharmacies and used in medical treatment\na. of or relating to pharmacy or pharmacists\na. of or relating to drugs used in medical treatment,,s:pharmaceuticals,6268
prototype,'prәutәtaip,n. 原型\n[计] 样机; 原型,n. a standard or typical example,,s:prototypes,6270
vegetation,.vedʒi'teiʃәn,"n. 植物\n[医] 贽生物, 贽疣, 增殖体; 生长, 增殖","n. all the plant life in a particular region or period\nn. the process of growth in plants\nn. an abnormal growth or excrescence (especially a warty excrescence on the valves of the heart)\nn. inactivity that is passive and monotonous, comparable to the inactivity of plant life",,,6271
magnet,'mægnit,"n. 磁铁, 有吸引力之人, 有吸引力之物\n[化] 磁体",n. (physics) a device that attracts iron and produces a magnetic field,,s:magnets,6272
emit,i'mit,"vt. 发出, 放射, 发表(意见等), 散发, 发行\n[化] 放射","v. expel (gases or odors)\nv. give off, send forth, or discharge; as of light, heat, or radiation, vapor, etc.",,p:emitted/i:emitting/3:emits/d:emitted/s:emits,6273
lender,'lendә,"n. 出借人, 贷方\n[经] 出借者, 贷方, 贷款人",n. someone who lends money or gives credit in business matters,,s:lenders,6278
seasonal,'si:znәl,"a. 季节的, 依照季节的, 周期性的\n[经] 季节性的, 季节的",a. occurring at or dependent on a particular season,,s:seasonals,6279
bastard,'bæstәd,"n. 私生子, 劣货\na. 私生的, 杂种的, 不合标准的",n. the illegitimate offspring of unmarried parents\nn. derogatory term for a variation that is not genuine; something irregular or inferior or of dubious origin,,s:bastards,6280
anthropologist,.ænθrә'pɒlәdʒist,n. 人类学家,n. a social scientist who specializes in anthropology,,s:anthropologists,6282
zoo,zu:,n. 动物园,n the facility where wild animals are housed for exhibition,,s:zoos,6286
module,'mɒdju:l,"n. 组件, 模数\n[计] 模块",n. detachable compartment of a spacecraft\nn. computer circuit consisting of an assembly of electronic components (as of computer hardware)\nn. a self-contained component (unit or item) that is used in combination with other components,,s:modules,6287
dominance,'dɔminәns,"n. 优势, 显性, 统治, 控制, 支配\n[计] 控制, 扰势",n. the state that exists when one person or group has power over another\nn. the organic phenomenon in which one of a pair of alleles present in a genotype is expressed in the phenotype and the other allele of the pair is not,,,6288
theorist,'θi:әrist,"n. 理论家, 理论工作者",n. someone who theorizes (especially in science or art),,s:theorists,6290
stripe,straip,"n. 斑纹, 条纹\n[医] 纹, 条纹","n. a piece of braid, usually on the sleeve, indicating military rank or length of service\nn. a kind or category\nn. a narrow marking of a different color or texture from the background\nv. mark with stripes",,s:stripes/d:striped/i:striping/p:striped/3:stripes,6292
potent,'pәutnt,"a. 有力的, 有说服力的, 有效的\n[医] 有力的, 有性交能力的",s. having great influence\ns. having or wielding force or authority\na. having a strong physiological or chemical effect\na. (of a male) capable of copulation,,,6295
foremost,'fәumәust,"a. 最初的, 最重要的\nadv. 在最前",s. preceding all others in spatial position\ns. situated closest to the bow\nr. prominently forward,,t:foremost/0:foremost/1:t,6296
tee,ti:,"n. T字形, T字形之物, 发球区, 球座, 目标\nvt. 搁在球座上\na. T字形的",n. the starting place for each hole on a golf course\nn. support holding a football on end and above the ground preparatory to the kickoff\nn. a short peg put into the ground to hold a golf ball off the ground\nv. place on a tee,,s:tees/i:teeing/3:tees/p:teed/d:teed,6299
reported,ri'pɔ:tid,a. 报告的；据报道的,a. made known or told about; especially presented in a formal account,,0:report/1:dp/p:reported/d:reported,6300
dentist,'dentist,n. 牙科医生\n[医] 牙医师,n. a person qualified to practice dentistry,,s:dentists,6301
den,den,"n. 兽穴, 洞穴\n[法] 匪巢, 贼窝",n. a unit of 8 to 10 cub scouts\nn. a room that is comfortable and secluded,,s:dens,6303
adverse,'ædvә:s,"a. 不利的, 敌对的, 相反的, 逆的\n[法] 相反的, 敌对的, 逆的",s. contrary to your interests or welfare\ns. in an opposing direction,,,6307
provincial,prә'vinʃәl,"n. 外地人, 粗野的人\na. 省的, 外地的, 偏狭的",n. (Roman Catholic Church) an official in charge of an ecclesiastical province acting under the superior general of a religious order\na. of or associated with a province\na. characteristic of the provinces or their people,,s:provincials,6308
conditioning,kәn'diʃәniŋ,"n. 调节, 条件作用, 整修\n[计] 调节; 调整",n. a learning process in which an organism's behavior becomes dependent on the occurrence of a stimulus in its environment,,i:conditioning/0:conditioning/1:i,6309
scholarly,'skɔlәli,"a. 学者派头的, 学者风度的, 有学问的, 博学的, 好学的",a. characteristic of scholars or scholarship,,,6310
improving,im'pru:viŋ,a. 有启发的；有教育意义的,s. getting higher or more vigorous,,0:improve/1:i/i:improving,6311
exaggerate,ig'zædʒәreit,"v. 夸大, 夸张",v to enlarge beyond bounds or the truth\nv do something to an excessive degree,,d:exaggerated/i:exaggerating/p:exaggerated/3:exaggerates,6312
whisk,hwisk,"n. 掸, 扫帚, 毛掸子, 搅拌器, 拂\nvt. 扫, 拂, 挥动, 迅速移动, 搅拌\nvi. 飞奔",n. a mixer incorporating a coil of wires; used for whipping eggs or cream\nn. a small short-handled broom used to brush clothes\nv. move somewhere quickly\nv. move quickly and nimbly,,d:whisked/p:whisked/i:whisking/3:whisks/s:whisks,6314
pastry,'peistri,"n. 油酥点心, 面粉糕饼",n. a dough of flour and water and shortening\nn. any of various baked foods made of dough or batter,,s:pastries,6315
reactor,ri'æktә,"n. 反应者, 反应器, 反应堆, 电抗器\n[化] 反应釜; 反应锅",n. an electrical device used to introduce reactance into a circuit,,s:reactors,6317
seventeen,sevn'ti:n,"num. 十七, 十七个",n. the cardinal number that is the sum of sixteen and one\ns. being one more than sixteen,,,6318
visually,'vizjjәli,"adv. 看, 视力, 视觉, 可见, 凭视力, 看到, 看得见, 光学, 形象化, 栩栩如生",r. with respect to vision,,,6319
volcano,vɒl'keinәu,n. 火山,n. a mountain formed by volcanic material,,s:volcanos,6321
molecular,mә'lekjulә,"a. 分子的, 由分子组成的\n[医] 分子的",a. relating to or produced by or consisting of molecules\na. relating to simple or elementary organization,,,6323
greeting,'gri:tiŋ,"n. 祝贺, 问候",n. (usually plural) an acknowledgment or expression of good will (especially on meeting),,0:greet/1:i/s:greetings/i:greeting,6324
pasture,'pæstʃә,"n. 牧场, 草地, 牧草\nvt. 放牧\nvi. 吃草",n. a field covered with grass or herbage and suitable for grazing by livestock,,s:pastures/d:pastured/i:pasturing/p:pastured/3:pastures,6330
rebellion,ri'beljәn,"n. 谋反, 叛乱, 反抗\n[法] 造反, 反叛, 叛乱",n. refusal to accept some authority or code or convention\nn. organized opposition to authority; a conflict in which one faction tries to wrest control from another,,s:rebellions,6331
constituency,kәn'stitjuәnsi,"n. 选民, 顾客, 读者\n[法] 选区, 全体选民, 选区内的选民",n. the body of voters who elect a representative for their area,,s:constituencies,6333
chuckle,'tʃʌkl,"n. 咯咯的笑声, 轻笑\nvi. 咯咯的笑, 咕咕叫",v. laugh quietly or with restraint,,p:chuckled/i:chuckling/s:chuckles/3:chuckles/d:chuckled,6334
swamp,swɒmp,"n. 沼泽, 进退两难的困境\nvt. 淹没, 击溃, 清除, 使陷于沼泽\nvi. 陷于沼泽, 淹没",n. low land that is seasonally flooded; has more woody plants than a marsh and better drainage than a bog\nn. a situation fraught with difficulties and imponderables\nv. drench or submerge or be drenched or submerged,,d:swamped/s:swamps/p:swamped/i:swamping/3:swamps,6335
dash,dæʃ,"n. 冲撞, 破折号, 短跑\nvi. 猛冲, 冲撞\nvt. 泼溅, 使猛撞, 搀和, 使破灭, 使沮丧",n. distinctive and stylish elegance\nn. a quick run\nn. a footrace run at top speed\nn. the longer of the two telegraphic signals used in Morse code,,p:dashed/d:dashed/i:dashing/s:dashes/3:dashes,6336
